,has_summ,soap_central,soapcentral_condensed,tvmega_recap,tvdb,scene_breaks,has_caps,n_scenes,n_lines,n_chars,n_chars_per_scene,duration_raw,duration,split,usable
atwt-06-29-01,True,True,True,False,False,implicit,True,36,421,35,44.11111111111112,failed video read,failed video read,nelly-excluded,False
atwt-01-01-04,False,False,False,False,False,implicit,False,36,288,17,44.94444444444444,3298.719637,54m 58.72s,nelly-excluded,False
atwt-01-02-03,True,True,True,False,True,implicit,True,24,328,18,46.0,3336.196644,55m 36.20s,train,True
atwt-01-02-04,True,False,False,True,False,explicit,False,24,354,22,46.708333333333336,3343.766349,55m 43.77s,nelly-excluded,False
atwt-01-02-08,True,True,True,True,False,explicit,True,30,428,21,45.3,3533.960998,58m 53.96s,train,True
atwt-01-02-09,True,False,False,True,False,explicit,True,30,500,19,46.4,3541.205624,59m 1.21s,train,True
atwt-01-03-03,True,False,False,False,True,implicit,True,20,322,20,48.0,3383.751111,56m 23.75s,train,True
atwt-01-03-05,True,True,True,True,True,explicit,True,26,398,21,45.84615384615385,2333.582222,38m 53.58s,test,True
atwt-01-03-06,True,True,True,False,False,none,True,34,350,14,3.147058823529412,3534.936236,58m 54.94s,nelly-excluded,True
atwt-01-03-07,True,True,True,True,False,explicit,True,25,398,20,47.92,3534.448617,58m 54.45s,train,True
atwt-01-03-08,True,False,False,True,False,explicit,True,34,393,12,44.47058823529412,3534.959456,58m 54.96s,train,True
atwt-01-04-05,True,True,True,True,True,explicit,True,23,305,24,45.30434782608695,2336.136417,38m 56.14s,test,True
atwt-01-04-06,True,True,True,False,False,none,True,28,415,12,3.0,3534.448617,58m 54.45s,nelly-excluded,True
atwt-01-04-08,True,False,False,True,False,explicit,True,39,401,20,42.8974358974359,3534.982676,58m 54.98s,train,True
atwt-01-04-10,True,True,True,True,False,explicit,True,24,473,17,45.79166666666666,3533.798458,58m 53.80s,test,True
atwt-01-05-04,True,True,True,True,False,explicit,False,26,383,16,46.0,3338.263220,55m 38.26s,nelly-excluded,False
atwt-01-05-05,True,True,True,True,True,explicit,True,27,387,17,45.25925925925926,2333.582222,38m 53.58s,test,True
atwt-01-05-06,True,True,True,False,False,none,True,35,302,16,2.685714285714285,3533.984218,58m 53.98s,nelly-excluded,True
atwt-01-05-09,True,True,True,True,False,explicit,True,26,579,18,46.88461538461539,3529.804626,58m 49.80s,train,True
atwt-01-05-10,True,True,True,True,False,explicit,True,28,389,19,44.42857142857143,3533.148299,58m 53.15s,test,True
atwt-01-06-03,True,True,True,False,True,implicit,True,25,289,17,45.92,3366.707664,56m 6.71s,train,True
atwt-01-06-05,True,True,True,True,True,explicit,True,29,442,22,45.89655172413793,2296.081995,38m 16.08s,test,True
atwt-01-06-09,True,True,True,True,False,explicit,True,25,358,13,46.2,3533.380499,58m 53.38s,train,True
atwt-01-06-10,True,True,True,True,False,explicit,False,31,375,17,44.064516129032256,3533.310839,58m 53.31s,nelly-excluded,False
atwt-01-07-03,True,True,True,False,True,implicit,True,20,321,18,48.15,3408.782222,56m 48.78s,train,True
atwt-01-07-04,True,True,True,True,False,explicit,True,29,405,25,44.82758620689656,3340.236916,55m 40.24s,train,True
atwt-01-07-05,True,True,True,True,True,explicit,False,31,384,17,44.54838709677419,3328.255420,55m 28.26s,nelly-excluded,False
atwt-01-07-08,True,True,True,True,False,explicit,True,45,404,23,43.24444444444445,3534.936236,58m 54.94s,train,True
atwt-01-07-09,True,True,True,True,False,explicit,True,27,420,17,46.888888888888886,3535.841814,58m 55.84s,train,True
atwt-01-07-10,True,True,True,True,False,explicit,True,28,467,15,44.892857142857146,3536.608073,58m 56.61s,train,True
atwt-01-08-03,True,True,True,False,True,implicit,True,17,342,18,48.76470588235294,3406.785306,56m 46.79s,train,True
atwt-01-08-04,True,True,True,True,False,explicit,True,28,330,20,45.46428571428572,3329.323537,55m 29.32s,train,True
atwt-01-08-07,True,True,True,True,False,explicit,True,23,347,22,45.56521739130435,3534.913016,58m 54.91s,train,True
atwt-01-08-08,True,True,True,True,False,explicit,True,30,450,21,45.96666666666667,3534.936236,58m 54.94s,train,True
atwt-01-08-10,True,True,True,True,False,explicit,True,24,498,12,47.625,3533.891338,58m 53.89s,train,True
atwt-01-09-03,True,True,True,False,True,implicit,True,24,324,14,46.333333333333336,3316.041723,55m 16.04s,train,True
atwt-01-09-06,True,True,True,True,True,explicit,True,27,385,19,44.37037037037037,3534.448617,58m 54.45s,test,True
atwt-01-09-07,True,True,True,True,True,explicit,True,20,490,16,48.15,3535.005896,58m 55.01s,test,True
atwt-01-09-08,True,True,True,True,False,explicit,True,31,460,24,45.80645161290322,3534.982676,58m 54.98s,train,True
atwt-01-09-09,True,True,True,True,False,explicit,True,28,477,18,46.142857142857146,3474.517914,57m 54.52s,train,True
atwt-01-10-03,True,True,True,False,True,implicit,True,19,356,12,48.0,3314.184127,55m 14.18s,train,True
atwt-01-10-05,True,True,True,True,True,explicit,True,28,351,18,45.392857142857146,3329.764717,55m 29.76s,test,True
atwt-01-10-06,True,True,True,True,True,explicit,True,31,420,20,47.064516129032256,3534.495057,58m 54.50s,test,True
atwt-01-10-07,True,True,True,True,False,explicit,True,27,414,16,44.888888888888886,3534.448617,58m 54.45s,train,True
atwt-01-10-08,True,True,True,True,False,explicit,True,38,405,16,43.28947368421053,3534.495057,58m 54.50s,train,True
atwt-01-11-05,True,True,True,True,True,explicit,True,27,452,18,45.74074074074074,3325.747664,55m 25.75s,test,True
atwt-01-11-06,True,True,True,True,False,explicit,True,24,466,21,46.66666666666666,3533.960998,58m 53.96s,train,True
atwt-01-11-07,True,True,True,True,True,explicit,True,23,468,21,48.391304347826086,3534.448617,58m 54.45s,test,True
atwt-01-11-08,True,True,True,True,False,explicit,True,29,392,18,45.10344827586207,3534.471837,58m 54.47s,train,True
atwt-01-11-10,True,True,True,True,False,explicit,True,25,540,15,48.16,3533.844898,58m 53.84s,train,True
atwt-01-12-04,True,True,True,True,False,explicit,True,28,401,32,46.392857142857146,3289.338776,54m 49.34s,train,True
atwt-01-12-05,True,True,True,True,True,explicit,True,31,437,21,45.80645161290322,3326.722902,55m 26.72s,test,True
atwt-01-12-06,True,True,True,True,False,explicit,True,22,417,16,46.04545454545455,3534.959456,58m 54.96s,test,True
atwt-01-12-07,True,True,True,True,True,explicit,True,25,375,19,47.36,3534.425397,58m 54.43s,test,True
atwt-01-12-09,True,True,True,True,False,explicit,True,34,393,17,43.794117647058826,3474.471474,57m 54.47s,train,True
atwt-01-12-10,True,True,True,True,False,explicit,True,26,462,19,47.92307692307692,3530.594104,58m 50.59s,train,True
atwt-01-13-03,True,True,True,False,True,implicit,True,23,351,16,49.34782608695652,3316.041723,55m 16.04s,train,True
atwt-01-13-04,True,True,True,True,False,explicit,False,25,305,21,45.56,3329.834376,55m 29.83s,nelly-excluded,False
atwt-01-13-05,True,True,True,True,True,explicit,True,25,403,21,46.0,3326.722902,55m 26.72s,test,True
atwt-01-13-06,True,True,True,True,False,explicit,True,26,346,21,45.34615384615385,2333.791202,38m 53.79s,train,True
atwt-01-13-09,True,True,True,True,False,explicit,True,27,594,20,48.25925925925926,3476.979229,57m 56.98s,train,True
atwt-01-13-10,True,True,True,True,False,explicit,True,23,527,20,49.08695652173913,3534.402177,58m 54.40s,train,True
atwt-01-14-03,True,True,True,False,True,implicit,True,20,402,13,50.5,3313.580408,55m 13.58s,train,True
atwt-01-14-04,True,True,True,True,False,explicit,True,22,308,17,44.5,3320.360635,55m 20.36s,train,True
atwt-01-14-05,True,True,True,True,True,explicit,True,27,318,15,44.03703703703704,3287.225760,54m 47.23s,test,True
atwt-01-14-08,True,True,True,True,False,explicit,True,33,368,18,43.63636363636363,3535.981134,58m 55.98s,train,True
atwt-01-14-09,True,True,True,True,False,explicit,True,30,500,18,46.266666666666666,3533.403719,58m 53.40s,train,True
atwt-01-14-10,True,True,True,True,False,explicit,True,21,554,16,50.04761904761905,3533.844898,58m 53.84s,train,True
atwt-01-15-03,True,True,True,False,True,implicit,True,21,354,15,48.19047619047619,3316.552562,55m 16.55s,train,True
atwt-01-15-04,True,True,True,True,False,explicit,False,23,399,31,49.04347826086956,3328.905578,55m 28.91s,nelly-excluded,False
atwt-01-15-07,True,True,True,True,False,explicit,True,31,378,26,46.903225806451616,3534.448617,58m 54.45s,train,True
atwt-01-15-08,True,True,True,True,False,explicit,True,25,282,14,44.12,3535.493515,58m 55.49s,train,True
atwt-01-15-09,True,True,True,True,False,explicit,False,26,581,14,46.88461538461539,3533.844898,58m 53.84s,nelly-excluded,False
atwt-01-15-10,True,True,True,True,False,explicit,False,28,378,16,43.96428571428572,3533.891338,58m 53.89s,nelly-excluded,False
atwt-01-16-03,True,True,True,False,True,implicit,True,22,391,15,47.54545454545455,3314.091247,55m 14.09s,train,True
atwt-01-16-04,True,True,True,True,False,explicit,True,29,377,25,45.206896551724135,3333.758549,55m 33.76s,train,True
atwt-01-16-06,True,True,True,True,True,explicit,True,35,438,20,43.94285714285714,3533.496599,58m 53.50s,test,True
atwt-01-16-07,True,True,True,True,True,explicit,True,2,400,18,61.0,3534.448617,58m 54.45s,test,True
atwt-01-16-08,True,True,True,True,False,explicit,True,43,375,16,41.04651162790697,3534.030658,58m 54.03s,train,True
atwt-01-16-09,True,True,True,True,False,explicit,True,24,485,12,48.125,3533.891338,58m 53.89s,train,True
atwt-01-17-03,True,True,True,False,True,implicit,False,23,379,18,47.78260869565217,3337.682721,55m 37.68s,nelly-excluded,False
atwt-01-17-05,True,True,True,True,True,explicit,True,29,346,19,45.172413793103445,3327.303401,55m 27.30s,test,True
atwt-01-17-06,True,True,True,True,True,explicit,False,29,397,15,45.62068965517241,3534.959456,58m 54.96s,nelly-excluded,False
atwt-01-17-07,True,True,True,True,True,explicit,True,25,428,20,44.8,3534.448617,58m 54.45s,test,True
atwt-01-17-08,True,True,True,True,False,explicit,True,35,408,18,42.68571428571428,3533.519819,58m 53.52s,train,True
atwt-01-18-05,True,True,True,True,True,explicit,True,14,215,22,46.85714285714285,3287.736599,54m 47.74s,test,True
atwt-01-18-06,True,True,True,True,True,explicit,True,26,433,19,46.34615384615385,3534.959456,58m 54.96s,test,True
atwt-01-18-07,True,True,True,True,False,explicit,True,37,466,25,43.810810810810814,3534.471837,58m 54.47s,train,True
atwt-01-18-08,True,True,True,True,False,explicit,True,40,392,26,41.65,3534.959456,58m 54.96s,train,True
atwt-01-18-10,True,True,True,True,False,explicit,True,19,457,16,48.21052631578947,3533.914558,58m 53.91s,train,True
atwt-01-19-04,True,True,True,True,False,explicit,True,28,350,24,44.785714285714285,3338.216780,55m 38.22s,train,True
atwt-01-19-05,True,True,True,True,True,explicit,True,25,396,21,46.08,3328.766259,55m 28.77s,test,True
atwt-01-19-06,True,True,True,True,False,explicit,True,32,386,17,45.4375,3534.471837,58m 54.47s,train,True
atwt-01-19-09,True,True,True,True,False,explicit,True,28,464,12,46.25,3534.866576,58m 54.87s,test,True
atwt-01-19-10,True,True,True,True,False,explicit,True,21,498,15,50.38095238095238,3533.868118,58m 53.87s,train,True
atwt-01-20-03,True,True,True,True,True,explicit,True,24,408,16,47.79166666666666,3373.720091,56m 13.72s,test,True
atwt-01-20-04,True,True,True,True,True,explicit,False,30,332,31,45.4,3338.727619,55m 38.73s,nelly-excluded,False
atwt-01-20-06,True,True,True,True,False,explicit,True,31,439,24,43.74193548387097,3534.959456,58m 54.96s,train,True
atwt-01-20-10,True,True,True,True,False,explicit,False,25,493,21,45.72,3533.821678,58m 53.82s,nelly-excluded,False
atwt-01-21-03,True,True,True,True,True,explicit,True,24,457,14,48.375,3405.856508,56m 45.86s,test,True
atwt-01-21-04,True,True,True,True,True,explicit,True,32,379,24,45.1875,3338.750839,55m 38.75s,test,True
atwt-01-21-05,True,True,True,True,True,explicit,True,32,366,19,42.90625,3327.721361,55m 27.72s,test,True
atwt-01-21-08,True,True,True,True,False,explicit,True,44,391,20,39.86363636363637,3535.911474,58m 55.91s,train,True
atwt-01-21-09,True,True,True,True,False,explicit,True,25,481,18,47.16,3534.425397,58m 54.43s,test,True
atwt-01-21-10,True,True,True,True,False,explicit,True,25,430,13,46.08,3532.869660,58m 52.87s,train,True
atwt-01-22-03,True,True,True,False,True,implicit,True,27,340,18,45.18518518518518,3340.701315,55m 40.70s,train,True
atwt-01-22-07,True,True,True,True,True,explicit,True,27,524,19,47.55555555555556,3534.982676,58m 54.98s,test,True
atwt-01-22-08,True,True,True,True,False,explicit,False,34,462,21,45.26470588235294,3534.913016,58m 54.91s,nelly-excluded,False
