,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
gl-01-13-05,0.296875,0.5714285714285714,49.46745562130177,16.132858837485173,19.40828402366864,48.28402366863906,64.0
atwt-05-19-03,0.48484848484848486,0.325,40.22346368715083,10.467289719626168,17.13221601489758,38.73370577281192,66.0
bb-06-07-06,0.6140350877192983,0.6333333333333333,56.23100303951368,19.817073170731707,23.10030395136778,55.92705167173253,57.0
atwt-05-14-04,0.44776119402985076,0.5316455696202531,51.21555915721232,12.357723577235774,22.042139384116695,48.62236628849271,67.0
gl-02-08-05,0.5166666666666667,0.6129032258064516,52.61813537675607,13.060179257362355,19.412515964240104,50.8301404853129,60.0
oltl-08-04-09,0.35384615384615387,0.5652173913043478,47.41532976827095,12.164579606440073,21.033868092691623,44.919786096256686,65.0
bb-06-15-06,0.5806451612903226,0.5128205128205128,49.59349593495935,14.67391304347826,19.78319783197832,48.78048780487806,62.0
oltl-06-14-07,0.46875,0.33962264150943394,42.994241842610364,13.102119460500964,20.34548944337812,39.15547024952015,64.0
gl-01-04-05,0.3508771929824561,0.4074074074074074,47.07207207207207,9.706546275395034,16.891891891891895,45.27027027027026,57.0
oltl-01-15-10,0.3559322033898305,0.35135135135135137,35.61643835616439,8.25147347740668,19.96086105675147,31.702544031311152,59.0
oltl-05-29-06,0.5373134328358209,0.19047619047619047,40.67164179104478,9.737827715355806,17.910447761194025,37.68656716417911,67.0
atwt-05-07-03,0.41935483870967744,0.36585365853658536,46.59090909090909,8.571428571428573,18.181818181818183,40.34090909090909,31.0
atwt-05-06-03,0.3291139240506329,0.2222222222222222,31.872509960159363,5.6000000000000005,16.73306772908367,30.278884462151396,79.0
gl-03-01-05,0.1774193548387097,0.6206896551724138,42.90220820189275,9.694415173867228,16.61409043112513,41.219768664563624,62.0
bb-05-16-06,0.7,0.6037735849056604,60.99071207430341,25.15527950310559,26.934984520123834,59.442724458204346,60.0
oltl-06-15-09,0.36231884057971014,0.47058823529411764,33.80281690140845,7.676767676767677,18.511066398390344,31.790744466800803,69.0
oltl-03-02-09,0.5614035087719298,0.7222222222222222,51.34228187919463,15.824915824915825,23.8255033557047,48.32214765100671,57.0
atwt-01-11-05,0.35185185185185186,0.625,41.66666666666667,10.64638783269962,17.424242424242422,36.74242424242424,54.0
atwt-09-18-06,0.3076923076923077,0.391304347826087,40.76433121019108,9.195402298850572,16.305732484076437,40.00000000000001,52.0
gl-02-27-06,0.31746031746031744,0.5098039215686274,55.87786259541985,15.926493108728945,22.290076335877863,52.519083969465655,63.0
bb-05-11-06,0.3387096774193548,0.296875,53.879941434846266,20.26431718061674,21.083455344070277,51.83016105417278,62.0
gl-01-28-05,0.2857142857142857,0.2777777777777778,36.50485436893203,8.576998050682262,17.47572815533981,34.95145631067962,63.0
bb-05-01-17,0.21052631578947367,0.3069306930693069,43.343653250774,6.230529595015576,21.671826625387,42.72445820433436,38.0
bb-04-25-17,0.4838709677419355,0.5784313725490197,48.07467911318553,13.333333333333334,17.969661610268375,46.44107351225204,62.0
atwt-05-11-06,0.41379310344827586,0.7058823529411765,49.67741935483871,14.239482200647247,19.03225806451613,47.74193548387097,58.0
bb-06-01-06,0.6065573770491803,0.4788732394366197,52.87356321839081,14.409221902017288,20.977011494252874,50.57471264367817,61.0
atwt-02-22-06,0.3924050632911392,0.6263736263736264,54.36013590033974,15.209988649262202,20.61155152887882,53.907134767836915,79.0
atwt-01-16-07,0.5625,0.6296296296296297,48.3558994197292,17.087378640776702,21.663442940038685,45.647969052224376,64.0
pc-05-02-03,0.5487804878048781,0.5192307692307693,43.812709030100336,10.06711409395973,20.066889632107024,42.140468227424755,82.0
atwt-07-21-06,0.5189873417721519,0.35714285714285715,42.32209737827715,10.526315789473685,17.97752808988764,40.0749063670412,79.0
atwt-08-16-06,0.484375,0.4722222222222222,54.3640897755611,14.500000000000002,19.451371571072322,52.11970074812968,64.0
bb-05-03-17,0.55,0.5494505494505495,46.272493573264775,9.30232558139535,19.53727506426735,44.73007712082262,40.0
pc-04-03-03,0.35714285714285715,0.5909090909090909,42.29390681003585,8.664259927797833,18.63799283154122,37.992831541218635,28.0
bb-05-02-17,0.42857142857142855,0.4838709677419355,43.74999999999999,10.857142857142858,18.750000000000004,41.47727272727273,28.0
bb-01-11-16,0.611764705882353,0.4838709677419355,45.66544566544567,12.974296205630356,19.29181929181929,44.44444444444444,85.0
oltl-03-17-09,0.5625,0.47619047619047616,45.31722054380664,11.55015197568389,19.939577039274926,42.90030211480363,32.0
bb-01-20-15,0.5230769230769231,0.39669421487603307,47.131147540983605,14.814814814814817,20.901639344262293,41.39344262295082,65.0
pc-04-02-03,0.2222222222222222,0.49333333333333335,46.3768115942029,7.2992700729927,23.18840579710145,44.20289855072464,36.0
oltl-01-16-09,0.43478260869565216,0.6333333333333333,38.26429980276134,8.316831683168315,17.357001972386588,35.108481262327416,69.0
